Source IP,Destination IP,Packet Size,Source Port,Destination Port,Protocol,Timestamp
/142.250.185.14,/192.168.43.186,121,443,64902,6 (TCP),1736094288804
/142.250.185.14,/192.168.43.186,85,443,64902,6 (TCP),1736094288805
/192.168.43.186,/142.250.185.14,54,64902,443,6 (TCP),1736094288805
/142.250.185.14,/192.168.43.186,54,443,64902,6 (TCP),1736094288805
/192.168.43.186,/192.168.43.1,66,64942,53,6 (TCP),1736094288808
/192.168.43.186,/192.168.43.1,66,64943,53,6 (TCP),1736094288808
/192.168.43.1,/192.168.43.186,66,53,64942,6 (TCP),1736094288809
/192.168.43.1,/192.168.43.186,66,53,64943,6 (TCP),1736094288809
/192.168.43.186,/192.168.43.1,54,64942,53,6 (TCP),1736094288809
/192.168.43.186,/192.168.43.1,54,64943,53,6 (TCP),1736094288809
/192.168.43.186,/192.168.43.1,56,64942,53,6 (TCP),1736094288813
/192.168.43.186,/192.168.43.1,109,64942,53,6 (TCP),1736094288817
/192.168.43.186,/192.168.43.1,56,64943,53,6 (TCP),1736094288818
/192.168.43.186,/192.168.43.1,109,64943,53,6 (TCP),1736094288818
/192.168.43.1,/192.168.43.186,54,53,64942,6 (TCP),1736094288818
/192.168.43.1,/192.168.43.186,54,53,64942,6 (TCP),1736094288819
/192.168.43.1,/192.168.43.186,54,53,64943,6 (TCP),1736094288819
/192.168.43.1,/192.168.43.186,54,53,64943,6 (TCP),1736094288819
/192.168.43.186,/172.217.168.182,219,64746,443,6 (TCP),1736094288922
/192.168.43.186,/172.217.168.182,93,64746,443,6 (TCP),1736094288923
/192.168.43.1,/192.168.43.186,55,53,64943,6 (TCP),1736094288925
/192.168.43.1,/192.168.43.186,55,53,64942,6 (TCP),1736094288927
/192.168.43.186,/192.168.43.1,54,64943,53,6 (TCP),1736094288928
/192.168.43.186,/192.168.43.1,54,64942,53,6 (TCP),1736094288928
/192.168.43.1,/192.168.43.186,181,53,64943,6 (TCP),1736094288930
/192.168.43.1,/192.168.43.186,175,53,64942,6 (TCP),1736094288931
/192.168.43.186,/192.168.43.1,54,64943,53,6 (TCP),1736094288932
/192.168.43.186,/192.168.43.1,54,64942,53,6 (TCP),1736094288933
/192.168.43.186,/197.230.70.19,1292,56456,443,17 (UDP),1736094288939
/192.168.43.186,/197.230.70.19,1292,56456,443,17 (UDP),1736094288940
/192.168.43.1,/192.168.43.186,54,53,64943,6 (TCP),1736094288963
/192.168.43.1,/192.168.43.186,54,53,64942,6 (TCP),1736094288971
/172.217.168.182,/192.168.43.186,54,443,64746,6 (TCP),1736094288974
/172.217.168.182,/192.168.43.186,54,443,64746,6 (TCP),1736094288975
/172.217.168.182,/192.168.43.186,93,443,64746,6 (TCP),1736094288976
/172.217.168.182,/192.168.43.186,168,443,64746,6 (TCP),1736094288976
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094288978
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094288980
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094288982
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094288982
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094288982
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094288983
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094288983
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094288983
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094288985
/192.168.43.186,/192.168.43.1,54,64943,53,6 (TCP),1736094288988
/192.168.43.186,/192.168.43.1,54,64942,53,6 (TCP),1736094288993
/192.168.43.186,/172.217.168.182,54,64746,443,6 (TCP),1736094288995
/192.168.43.186,/172.217.168.182,89,64746,443,6 (TCP),1736094288996
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094288998
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094288999
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289000
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289000
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289001
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289001
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289003
/172.217.168.182,/192.168.43.186,1454,443,64746,6 (TCP),1736094289003
